Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
0,1,52,1,0,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,1
0,1,36,1,1,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,1
1,0,20,1,0,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,0
1,1,44,1,1,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,1
0,1,49,1,0,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,1
1,1,16,1,0,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,1
0,1,77,1,1,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,1
0,1,43,1,1,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,1
1,1,47,1,0,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,1
0,1,46,1,1,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,1
0,1,47,1,0,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,1
0,1,33,1,1,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,0
0,1,46,1,1,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,1
0,1,60,1,1,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,1
0,1,52,1,1,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,1
1,1,50,0,0,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,0
0,1,31,1,0,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,0
1,1,52,0,1,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,1
0,1,43,0,0,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,0
0,1,50,1,1,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,1
1,1,60,1,1,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,1
1,1,43,0,0,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,0
1,1,55,0,0,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,0
1,1,25,1,1,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,1
0,0,30,1,0,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,0
1,1,62,0,0,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,0
1,1,24,1,1,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,1
0,1,22,1,0,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,1
1,1,44,1,1,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,1
1,1,51,1,0,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,0
1,1,43,0,1,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,0
0,1,56,1,0,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,1
1,0,41,1,0,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,0
1,1,22,0,0,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,0
0,1,53,1,0,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,1
1,1,12,0,0,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,0
0,1,39,1,1,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,1
0,1,55,1,1,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,1
0,0,32,1,1,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,0
0,1,40,0,0,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,0
0,0,42,1,1,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,0
1,0,24,1,0,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,1
1,1,22,1,1,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,0
0,1,28,1,1,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,1
0,1,36,1,1,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,0
0,1,62,1,0,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,1
0,1,60,1,1,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,1
0,1,59,0,0,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,0
0,1,49,1,1,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,1
0,1,44,0,0,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,0
0,1,58,0,1,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,0
1,0,24,1,1,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,1
0,1,53,1,0,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,1
1,1,56,1,0,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,0
0,1,30,1,1,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,1
1,0,27,1,1,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,0
1,1,27,1,1,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,1
